wavelength,x_bar,y_bar,z_bar,power
360,0.0001299,3.917e-06,0.0006061,46.6383
361,0.000145847,4.393581e-06,0.0006808792,47.1834
362,0.0001638021,4.929604e-06,0.0007651456,47.7285
363,0.0001840037,5.532136e-06,0.0008600124,48.2735
364,0.0002066902,6.208245e-06,0.0009665928,48.8186
365,0.0002321,6.965e-06,0.001086,49.3637
366,0.000260728,7.813219e-06,0.001220586,49.9088
367,0.000293075,8.767336e-06,0.001372729,50.4539
368,0.000329388,9.839844e-06,0.001543579,50.9989
369,0.000369914,1.104323e-05,0.001734286,51.544
370,0.0004149,1.239e-05,0.001946,52.0891
371,0.0004641587,1.388641e-05,0.002177777,51.8777
372,0.000518986,1.555728e-05,0.002435809,51.6664
373,0.000581854,1.744296e-05,0.002731953,51.455
374,0.0006552347,1.958375e-05,0.003078064,51.2437
375,0.0007416,2.202e-05,0.003486,51.0323
376,0.0008450296,2.483965e-05,0.003975227,50.8209
377,0.0009645268,2.804126e-05,0.00454088,50.6096
378,0.001094949,3.153104e-05,0.00515832,50.3982
379,0.001231154,3.521521e-05,0.005802907,50.1869
380,0.001368,3.9e-05,0.006450001,49.9755
381,0.00150205,4.28264e-05,0.007083216,50.4428
382,0.001642328,4.69146e-05,0.007745488,50.91
383,0.001802382,5.15896e-05,0.008501152,51.3773
384,0.001995757,5.71764e-05,0.009414544,51.8446
385,0.002236,6.4e-05,0.01054999,52.3118
386,0.002535385,7.234421e-05,0.0119658,52.7791
387,0.002892603,8.221224e-05,0.01365587,53.2464
388,0.003300829,9.350816e-05,0.01558805,53.7137
389,0.003753236,0.0001061361,0.01773015,54.1809
390,0.004243,0.00012,0.02005001,54.6482
391,0.004762389,0.000134984,0.02251136,57.4589
392,0.005330048,0.000151492,0.02520288,60.2695
393,0.005978712,0.000170208,0.02827972,63.0802
394,0.006741117,0.000191816,0.03189704,65.8909
395,0.00765,0.000217,0.03621,68.7015
396,0.008751373,0.0002469067,0.04143771,71.5122
397,0.01002888,0.00028124,0.04750372,74.3229
398,0.0114217,0.00031852,0.05411988,77.1336
399,0.01286901,0.0003572667,0.06099803,79.9442
400,0.01431,0.000396,0.06785001,82.7549
401,0.01570443,0.0004337147,0.07448632,83.628
402,0.01714744,0.000473024,0.08136156,84.5011
403,0.01878122,0.000517876,0.08915364,85.3742
404,0.02074801,0.0005722187,0.09854048,86.2473
405,0.02319,0.00064,0.1102,87.1204
406,0.02620736,0.00072456,0.1246133,87.9936
407,0.02978248,0.0008255,0.1417017,88.8667
408,0.03388092,0.00094116,0.1613035,89.7398
409,0.03846824,0.00106988,0.1832568,90.6129
410,0.04351,0.00121,0.2074,91.486
411,0.0489956,0.001362091,0.2336921,91.6806
412,0.0550226,0.001530752,0.2626114,91.8752
413,0.0617188,0.001720368,0.2947746,92.0697
414,0.069212,0.001935323,0.3307985,92.2643
415,0.07763,0.00218,0.3713,92.4589
416,0.08695811,0.0024548,0.4162091,92.6535
417,0.09717672,0.002764,0.4654642,92.8481
418,0.1084063,0.0031178,0.5196948,93.0426
419,0.1207672,0.0035264,0.5795303,93.2372
420,0.13438,0.004,0.6456,93.4318
421,0.1493582,0.00454624,0.7184838,92.7568
422,0.1653957,0.00515932,0.7967133,92.0819
423,0.1819831,0.00582928,0.8778459,91.4069
424,0.198611,0.00654616,0.959439,90.732
425,0.21477,0.0073,1.0390501,90.057
426,0.2301868,0.008086507,1.1153673,89.3821
427,0.2448797,0.00890872,1.1884971,88.7071
428,0.2587773,0.00976768,1.2581233,88.0322
429,0.2718079,0.01066443,1.3239296,87.3572
430,0.2839,0.0116,1.3856,86.6823
431,0.2949438,0.01257317,1.4426352,88.5006
432,0.3048965,0.01358272,1.4948035,90.3188
433,0.3137873,0.01462968,1.5421903,92.1371
434,0.3216454,0.01571509,1.5848807,93.9554
435,0.3285,0.01684,1.62296,95.7736
436,0.3343513,0.01800736,1.6564048,97.5919
437,0.3392101,0.01921448,1.6852959,99.4102
438,0.3431213,0.02045392,1.7098745,101.228
439,0.3461296,0.02171824,1.7303821,103.047
440,0.34828,0.023,1.74706,104.865
441,0.3495999,0.02429461,1.7600446,106.079
442,0.3501474,0.02561024,1.7696233,107.294
443,0.350013,0.02695857,1.7762637,108.508
